Year,Month,Date,Open,High,Low,Close,Adj Close,Volume
2016,9,9/1/16,2022.959961,2073.889893,1991.469971,2043.630005,2043.630005,8851800
2016,10,10/1/16,2056.939941,2070.429932,2002.290039,2008.189941,2008.189941,6637000
2016,11,11/1/16,2003.410034,2015.22998,1931.069946,1983.47998,1983.47998,6610700
2016,12,12/1/16,1987.47998,2053.459961,1960.650024,2026.459961,2026.459961,6035900
2017,1,1/1/17,2022.22998,2091.02002,2015.680054,2067.570068,2067.570068,8424200
2017,2,2/1/17,2075.310059,2108.98999,2052.290039,2091.639893,2091.639893,7128900
2017,3,3/1/17,2105.189941,2182.419922,2067.679932,2160.22998,2160.22998,8869800
2017,4,4/1/17,2166.040039,2217.040039,2117.820068,2205.439941,2205.439941,7729400
2017,5,5/1/17,2213.610107,2371.669922,2212.870117,2347.379883,2347.379883,7028300
2017,6,6/1/17,2348.310059,2402.800049,2335.629883,2391.790039,2391.790039,7483800
2017,7,7/1/17,2397.659912,2453.169922,2372.830078,2402.709961,2402.709961,6225600
2017,8,8/1/17,2397.120117,2434.469971,2310.199951,2363.189941,2363.189941,5724100
2017,9,9/1/17,2367.449951,2429.120117,2314.310059,2394.469971,2394.469971,5842700
2017,10,10/1/17,2425.629883,2528.320068,2421.100098,2523.429932,2523.429932,5051400
2017,11,11/1/17,2535.969971,2561.629883,2474.280029,2476.370117,2476.370117,7474400
2017,12,12/1/17,2488.919922,2514.610107,2411.47998,2467.48999,2467.48999,5748100
2018,1,1/1/18,2474.860107,2607.100098,2465.939941,2566.459961,2566.459961,8253400
2018,2,2/1/18,2578.909912,2583.73999,2346.72998,2427.360107,2427.360107,7281200
2018,3,3/1/18,2406.570068,2508.709961,2374.800049,2445.850098,2445.850098,8079000
2018,4,4/1/18,2454.719971,2515.379883,2405.909912,2515.379883,2515.379883,10439800
2018,5,5/1/18,2515.75,2516.570068,2399.580078,2423.01001,2423.01001,12820500
2018,6,6/1/18,2419.629883,2479.560059,2296.389893,2326.129883,2326.129883,9450900
2018,7,7/1/18,2322.22998,2327.590088,2243.899902,2295.26001,2295.26001,7509300
2018,8,8/1/18,2301.169922,2322.879883,2218.090088,2322.879883,2322.879883,6204500
2018,9,9/1/18,2317.929932,2356.620117,2264.899902,2343.070068,2343.070068,5433100
2018,10,10/1/18,2349.639893,2352.110107,1985.949951,2029.689941,2029.689941,7022100
2018,11,11/1/18,2035.109985,2136.73999,2023.430054,2096.860107,2096.860107,6978800
2018,12,12/1/18,2127.780029,2136.639893,2014.280029,2041.040039,2041.040039,7631800
2019,1,1/1/19,2050.550049,2222.879883,1984.530029,2204.850098,2204.850098,9455200
2019,2,2/1/19,2211.929932,2241.76001,2167.360107,2195.439941,2195.439941,6882500
2019,3,3/1/19,2210.969971,2216.02002,2120.929932,2140.669922,2140.669922,6458000
