Date,Open,High,Low,Close,Adj Close,Volume
2007-10-01,798.289978,828.830017,742.130005,810.070007,810.070007,12466200
2007-11-01,820.390015,820.390015,692.229980,741.840027,741.840027,9864300
2007-12-01,746.840027,762.869995,691.950012,704.229980,704.229980,9398900
2008-01-01,709.070007,719.989990,594.469971,608.840027,608.840027,10764400
2008-02-01,616.320007,662.210022,608.690002,655.940002,655.940002,9031700
2008-03-01,644.059998,652.549988,591.400024,644.450012,644.450012,9815700
2008-04-01,649.010010,659.080017,639.340027,647.020020,647.020020,10419800
2008-05-01,653.789978,657.950012,639.919983,652.150024,652.150024,8286900
2008-06-01,654.940002,655.000000,589.080017,590.190002,590.190002,10037700
2008-07-01,591.210022,592.250000,505.579987,539.440002,539.440002,13177900
2008-08-01,537.299988,539.559998,468.529999,470.279999,470.279999,9452600
2008-09-01,466.649994,466.970001,412.750000,440.769989,440.769989,10091500
2008-10-01,446.149994,447.149994,245.059998,308.029999,308.029999,9905900
2008-11-01,313.100006,358.859985,263.290009,307.480011,307.480011,11026900
2008-12-01,310.179993,348.709991,294.619995,332.049988,332.049988,13010500
2009-01-01,337.380005,366.420013,335.859985,364.899994,364.899994,11223500
2009-02-01,365.350006,406.179993,350.989990,363.209991,363.209991,14412000
2009-03-01,361.350006,432.339996,334.149994,421.440002,421.440002,15313900
2009-04-01,425.559998,518.340027,423.160004,500.980011,500.980011,18486000
2009-05-01,507.880005,565.960022,500.609985,528.799988,528.799988,19262700
2009-06-01,533.030029,548.669983,477.690002,485.149994,485.149994,20109500
2009-07-01,484.200012,509.450012,470.559998,504.350006,504.350006,17193500
2009-08-01,508.500000,536.820007,504.390015,514.700012,514.700012,17118100
2009-09-01,515.900024,540.059998,505.329987,505.940002,505.940002,17728300
2009-10-01,508.940002,516.000000,474.220001,486.459991,486.459991,13517500
2009-11-01,476.049988,489.339996,450.369995,464.320007,464.320007,15539700
2009-12-01,465.369995,522.010010,460.589996,513.570007,513.570007,15254100
2010-01-01,517.030029,557.880005,493.609985,496.570007,496.570007,19315200
2010-02-01,498.829987,518.330017,483.149994,507.029999,507.029999,15424400
2010-03-01,511.410004,531.229980,506.970001,515.739990,515.739990,19296400
2010-04-01,517.440002,525.729980,494.910004,523.750000,523.750000,13339600
2010-05-01,523.929993,525.489990,436.390015,489.420013,489.420013,11489600
2010-06-01,491.239990,501.970001,477.010010,489.980011,489.980011,9804800
2010-07-01,488.950012,504.239990,479.269989,481.450012,481.450012,11856000
2010-08-01,483.890015,486.079987,460.489990,464.709991,464.709991,11532100
2010-09-01,467.750000,493.239990,467.750000,492.750000,492.750000,9799400
2010-10-01,494.600006,531.190002,490.429993,526.450012,526.450012,10115300
2010-11-01,528.900024,536.520020,490.010010,498.390015,498.390015,13013200
2010-12-01,499.609985,516.780029,491.859985,510.690002,510.690002,13654800
2011-01-01,515.710022,538.859985,514.510010,521.380005,521.380005,13986300
2011-02-01,525.099976,535.200012,501.040009,504.459991,504.459991,11645900
2011-03-01,502.480011,528.390015,469.200012,525.419983,525.419983,14115700
2011-04-01,528.489990,539.539978,507.119995,511.000000,511.000000,12647100
2011-05-01,513.530029,517.440002,470.209991,484.540009,484.540009,6920800
2011-06-01,486.549988,486.640015,455.140015,479.549988,479.549988,7316400
2011-07-01,482.839996,543.320007,482.779999,536.049988,536.049988,9674800
2011-08-01,541.409973,545.059998,404.549988,493.440002,493.440002,11539800
2011-09-01,496.809998,500.519989,408.350006,449.660004,449.660004,10380200
2011-10-01,430.299988,504.700012,421.170013,490.690002,490.690002,11452400
2011-11-01,487.209991,514.349976,475.989990,492.809998,492.809998,12328100
2011-12-01,504.260010,516.099976,460.190002,500.179993,500.179993,12419600
2012-01-01,504.410004,528.440002,502.690002,513.989990,513.989990,11424700
2012-02-01,516.450012,545.859985,515.909973,542.299988,542.299988,16329600
2012-03-01,545.169983,546.150024,510.200012,519.559998,519.559998,15805500
2012-04-01,521.869995,524.549988,475.269989,478.890015,478.890015,11465500
2012-05-01,480.820007,498.589996,446.350006,471.940002,471.940002,9763000
2012-06-01,474.260010,489.380005,448.940002,489.160004,489.160004,12290100
2012-07-01,493.609985,499.429993,454.720001,467.609985,467.609985,14073700
2012-08-01,467.869995,509.350006,463.440002,508.350006,508.350006,12289600
2012-09-01,511.619995,534.090027,504.019989,523.780029,523.780029,15034300
2012-10-01,525.919983,543.270020,493.869995,508.309998,508.309998,12112700
2012-11-01,509.920013,523.830017,480.480011,499.369995,499.369995,9793100
2012-12-01,500.920013,504.160004,475.709991,496.320007,496.320007,6096600
2013-01-01,501.750000,518.489990,498.980011,503.670013,503.670013,10391900
2013-02-01,504.799988,536.530029,495.679993,535.869995,535.869995,8573600
2013-03-01,538.520020,556.630005,532.539978,555.020020,555.020020,9491800
2013-04-01,557.280029,570.280029,517.099976,563.869995,563.869995,10178400
2013-05-01,564.510010,588.539978,554.340027,577.869995,577.869995,9642100
2013-06-01,576.229980,578.309998,478.679993,519.059998,519.059998,8826100
2013-07-01,522.510010,554.650024,513.840027,554.309998,554.309998,8238800
2013-08-01,557.679993,559.140015,511.649994,516.739990,516.739990,8056300
2013-09-01,518.619995,538.000000,518.619995,534.890015,534.890015,5593300
2013-10-01,534.090027,538.080017,519.929993,532.440002,532.440002,6850400
2013-11-01,533.900024,536.460022,499.989990,517.059998,517.059998,6199400
2013-12-01,518.090027,518.340027,483.320007,499.989990,499.989990,5782400
2014-01-01,502.410004,526.820007,493.790009,515.200012,515.200012,7684300
2014-02-01,513.030029,531.150024,505.119995,528.960022,528.960022,7001300
2014-03-01,529.229980,549.429993,526.270020,541.580017,541.580017,7410500
2014-04-01,544.510010,573.880005,544.059998,559.340027,559.340027,7888700
2014-05-01,561.679993,562.770020,538.650024,546.530029,546.530029,6420300
2014-06-01,546.809998,546.820007,520.890015,537.059998,537.059998,4867300
2014-07-01,538.440002,567.489990,528.150024,536.320007,536.320007,7372500
2014-08-01,530.200012,571.440002,529.880005,570.200012,570.200012,6640700
2014-09-01,572.799988,583.659973,565.640015,573.219971,573.219971,7422100
2014-10-01,575.020020,575.349976,531.460022,558.700012,558.700012,7839800
2014-11-01,559.710022,559.900024,530.419983,545.080017,545.080017,7323600
2014-12-01,545.080017,553.109985,520.929993,542.969971,542.969971,9729500
2015-01-01,546.010010,597.280029,546.010010,591.580017,591.580017,10073500
2015-02-01,591.750000,625.260010,585.349976,624.559998,624.559998,8358000
2015-03-01,627.609985,651.059998,616.429993,650.489990,650.489990,11642400
2015-04-01,650.270020,720.559998,645.630005,689.010010,689.010010,14123700
2015-05-01,696.309998,719.270020,654.010010,711.390015,711.390015,9157600
2015-06-01,714.090027,757.979980,690.799988,742.270020,742.270020,11738300
2015-07-01,747.479980,788.130005,695.940002,725.059998,725.059998,15182400
2015-08-01,728.030029,754.599976,610.119995,687.109985,687.109985,9834900
2015-09-01,686.469971,694.090027,632.200012,678.479980,678.479980,13250200
2015-10-01,685.890015,697.169983,668.030029,683.630005,683.630005,16232500
2015-11-01,683.539978,698.390015,650.559998,688.380005,688.380005,15783000
2015-12-01,690.489990,695.200012,630.369995,682.349976,682.349976,14528300
2016-01-01,686.409973,693.549988,659.719971,682.799988,682.799988,12282200
2016-02-01,687.650024,688.150024,594.750000,651.619995,651.619995,9698900
2016-03-01,658.950012,699.760010,658.640015,688.380005,688.380005,13175700
