Weekday,Month,Day,Date,Price,Open,High,Low,Vol.,Change %,Volume
WED,6,8,6/8/22,38508000,39368000,39564000,38037000,0.59K,-2.18%,590
TUE,6,7,6/7/22,39368000,39569000,39735000,37416000,1.65K,-0.56%,1650
MON,6,6,6/6/22,39589000,38005000,39942000,37975000,0.62K,4.17%,620
SUN,6,5,6/5/22,38005000,37906000,38202000,37600000,0.38K,0.26%,380
SAT,6,4,6/4/22,37906000,37856000,38092000,37602000,0.22K,0.13%,220
FRI,6,3,6/3/22,37856000,38346000,38555000,37305000,0.41K,-1.27%,410
THUR,6,2,6/2/22,38344000,37845000,38656000,37558000,0.66K,1.32%,660
WED,6,1,6/1/22,37843000,39900000,40089000,37533000,2.13K,-5.16%,2130
TUE,5,31,5/31/22,39900000,39575000,40593000,39323000,0.89K,0.79%,890
MON,5,30,5/30/22,39589000,37425000,40000000,37196000,1.39K,5.78%,1390
SUN,5,29,5/29/22,37427000,36981000,37609000,36794000,1.10K,1.21%,1100
SAT,5,28,5/28/22,36981000,36798000,37311000,36576000,1.15K,0.53%,1150
FRI,5,27,5/27/22,36787000,37595000,37764000,36336000,1.56K,-2.15%,1560
THUR,5,26,5/26/22,37595000,37863000,38157000,36300000,2.17K,-0.71%,2170
WED,5,25,5/25/22,37863000,37747000,38344000,37525000,1.08K,0.33%,1080
TUE,5,24,5/24/22,37739000,37336000,37988000,36682000,1.45K,1.08%,1450
MON,5,23,5/23/22,37336000,38916000,39175000,37112000,1.47K,-4.06%,1470
SUN,5,22,5/22/22,38916000,38001000,39132000,37832000,1.36K,2.41%,1360
SAT,5,21,5/21/22,38002000,37743000,38229000,37543000,1.16K,0.69%,1160
FRI,5,20,5/20/22,37743000,38751000,39242000,37210000,1.57K,-2.61%,1570
THUR,5,19,5/19/22,38755000,36891000,38998000,36851000,1.54K,4.98%,1540
WED,5,18,5/18/22,36917000,39166000,39320000,36825000,1.38K,-5.74%,1380
TUE,5,17,5/17/22,39166000,39141000,39825000,38200000,1.64K,0.06%,1640
MON,5,16,5/16/22,39141000,40884000,40888000,38456000,1.15K,-4.28%,1150
SUN,5,15,5/15/22,40890000,39899000,40950000,39186000,0.82K,2.48%,820
SAT,5,14,5/14/22,39899000,38995000,40115000,38277000,0.67K,2.29%,670
FRI,5,13,5/13/22,39004000,38557000,40747000,38145000,1.33K,1.16%,1330
THUR,5,12,5/12/22,38557000,39509000,40852000,36500000,2.08K,-2.46%,2080
WED,5,11,5/11/22,39531000,40886000,42605000,38478000,1.92K,-3.32%,1920
TUE,5,10,5/10/22,40889000,40658000,43050000,40000000,2.31K,0.58%,2310
MON,5,9,5/9/22,40652000,44681000,44985000,40398000,3.11K,-9.02%,3110
SUN,5,8,5/8/22,44681000,46449000,46475000,44575000,1.16K,-3.86%,1160
SAT,5,7,5/7/22,46474000,46964000,47200000,46001000,0.92K,-1.08%,920
FRI,5,6,5/6/22,46982000,47588000,47734000,46125000,1.07K,-1.25%,1070
THUR,5,5,5/5/22,47575000,50595000,50821000,47199000,2.54K,-5.97%,2540
WED,5,4,5/4/22,50595000,48697000,50984000,48625000,1.40K,3.94%,1400
TUE,5,3,5/3/22,48677000,49453000,49621000,48521000,1.09K,-1.57%,1090
MON,5,2,5/2/22,49453000,49357000,50125000,49041000,1.18K,0.22%,1180
SUN,5,1,5/1/22,49343000,49239000,49588000,48470000,1.06K,0.21%,1060
SAT,4,30,4/30/22,49239000,49735000,49999000,49181000,1.04K,-0.96%,1040
FRI,4,29,4/29/22,49715000,50543000,50712000,49400000,1.51K,-1.65%,1510
THUR,4,28,4/28/22,50549000,49915000,51169000,49667000,1.53K,1.26%,1530
WED,4,27,4/27/22,49918000,48720000,50067000,48570000,1.16K,2.48%,1160
TUE,4,26,4/26/22,48710000,50623000,51147000,48202000,1.29K,-3.80%,1290
MON,4,25,4/25/22,50633000,49617000,50897000,48560000,1.44K,2.02%,1440
SUN,4,24,4/24/22,49629000,49723000,50116000,49247000,0.93K,-0.14%,930
SAT,4,23,4/23/22,49699000,49942000,50287000,49437000,0.71K,-0.49%,710
FRI,4,22,4/22/22,49942000,50878000,50977000,49395000,1.04K,-1.84%,1040
THUR,4,21,4/21/22,50878000,51402000,53050000,50300000,0.95K,-1.05%,950
WED,4,20,4/20/22,51420000,51444000,52339000,51035000,0.80K,-0.05%,800
TUE,4,19,4/19/22,51446000,50767000,51768000,50428000,0.49K,1.34%,490
MON,4,18,4/18/22,50767000,49862000,51186000,48523000,0.85K,1.82%,850
SUN,4,17,4/17/22,49862000,50443000,50600000,49714000,0.63K,-1.15%,630
SAT,4,16,4/16/22,50443000,50702000,50802000,50132000,0.51K,-0.53%,510
FRI,4,15,4/15/22,50714000,49947000,50796000,49780000,0.41K,1.54%,410
THUR,4,14,4/14/22,49947000,51394000,51619000,49610000,0.78K,-2.85%,780
WED,4,13,4/13/22,51410000,50420000,51658000,49740000,1.13K,2.00%,1130
TUE,4,12,4/12/22,50402000,49884000,51024000,49385000,1.14K,1.04%,1140
MON,4,11,4/11/22,49884000,52763000,52987000,49594000,1.29K,-5.45%,1290
SUN,4,10,4/10/22,52762000,53281000,53849000,52342000,0.81K,-0.97%,810
SAT,4,9,4/9/22,53281000,52892000,53331000,52670000,0.49K,0.70%,490
FRI,4,8,4/8/22,52910000,53813000,54593000,52753000,0.80K,-1.67%,800
THUR,4,7,4/7/22,53808000,53025000,54341000,52777000,0.81K,1.49%,810
WED,4,6,4/6/22,53020000,56149000,56165000,53000000,1.24K,-5.57%,1240
TUE,4,5,4/5/22,56149000,57030000,57520000,56028000,1.02K,-1.54%,1020
MON,4,4,4/4/22,57026000,56651000,57300000,55516000,1.20K,0.66%,1200
SUN,4,3,4/3/22,56651000,56052000,57500000,55805000,0.27K,1.07%,270
SAT,4,2,4/2/22,56051000,56492000,57361000,55825000,0.92K,-0.80%,920
FRI,4,1,4/1/22,56502000,55459000,56802000,54278000,1.18K,1.91%,1180
THUR,3,31,3/31/22,55442000,56699000,57185000,55232000,1.34K,-2.17%,1340
WED,3,30,3/30/22,56674000,57044000,57085000,56098000,1.22K,-0.65%,1220
TUE,3,29,3/29/22,57047000,56884000,57618000,56433000,1.39K,0.31%,1390
MON,3,28,3/28/22,56868000,55930000,57713000,55815000,1.31K,1.67%,1310
SUN,3,27,3/27/22,55936000,54002000,56183000,53718000,2.02K,3.58%,2020
SAT,3,26,3/26/22,54002000,53889000,54223000,53482000,0.48K,0.21%,480
FRI,3,25,3/25/22,53889000,52886000,54328000,52680000,0.90K,1.90%,900
THUR,3,24,3/24/22,52886000,52150000,53200000,51820000,1.35K,1.41%,1350
WED,3,23,3/23/22,52150000,51753000,52260000,51043000,1.10K,0.76%,1100
TUE,3,22,3/22/22,51755000,50101000,52347000,49947000,1.09K,3.34%,1090
MON,3,21,3/21/22,50081000,50493000,50765000,49783000,0.92K,-0.85%,920
SUN,3,20,3/20/22,50510000,51242000,51350000,50170000,0.95K,-1.38%,950
SAT,3,19,3/19/22,51218000,50739000,51296000,50605000,0.63K,0.95%,630
FRI,3,18,3/18/22,50737000,50060000,51165000,49356000,1.16K,1.40%,1160
THUR,3,17,3/17/22,50035000,50456000,50800000,49593000,0.58K,-0.83%,580
WED,3,16,3/16/22,50452000,48590000,51282000,48421000,1.33K,3.80%,1330
TUE,3,15,3/15/22,48604000,49159000,49288000,47777000,1.14K,-1.13%,1140
MON,3,14,3/14/22,49159000,47425000,49480000,47113000,0.99K,3.67%,990
SUN,3,13,3/13/22,47417000,48471000,48869000,47300000,0.88K,-2.21%,880
SAT,3,12,3/12/22,48489000,48232000,48998000,48130000,0.45K,0.53%,450
FRI,3,11,3/11/22,48232000,48905000,49889000,47750000,0.73K,-1.38%,730
THUR,3,10,3/10/22,48905000,51571000,51772000,48210000,0.78K,-5.22%,780
WED,3,9,3/9/22,51596000,48197000,52231000,48141000,0.95K,7.05%,950
TUE,3,8,3/8/22,48199000,47387000,48757000,47283000,0.43K,1.69%,430
MON,3,7,3/7/22,47399000,47776000,48824000,46478000,1.36K,-0.79%,1360
SUN,3,6,3/6/22,47777000,48620000,48993000,47210000,1.19K,-1.73%,1190
SAT,3,5,3/5/22,48620000,48406000,48835000,47900000,0.58K,0.43%,580
FRI,3,4,3/4/22,48411000,51780000,51875000,48077000,1.37K,-6.51%,1370
THUR,3,3,3/3/22,51780000,53398000,53700000,51121000,1.25K,-3.03%,1250
WED,3,2,3/2/22,53398000,53800000,54697000,52720000,0.76K,-0.74%,760
TUE,3,1,3/1/22,53798000,52173000,54645000,51904000,1.02K,3.16%,1020
MON,2,28,2/28/22,52152000,46275000,52970000,46059000,2.47K,12.64%,2470
SUN,2,27,2/27/22,46299000,47766000,48500000,45645000,1.42K,-3.10%,1420
SAT,2,26,2/26/22,47779000,47807000,48833000,47151000,0.70K,-0.08%,700
FRI,2,25,2/25/22,47818000,46816000,48438000,46440000,1.25K,2.14%,1250
THUR,2,24,2/24/22,46816000,45431000,48092000,42524000,2.19K,3.05%,2190
WED,2,23,2/23/22,45431000,46441000,47472000,45120000,1.27K,-2.15%,1270
TUE,2,22,2/22/22,46429000,45340000,46612000,44679000,1.30K,2.40%,1300
MON,2,21,2/21/22,45340000,47063000,48102000,45038000,1.63K,-3.66%,1630
SUN,2,20,2/20/22,47063000,49046000,49074000,46600000,0.63K,-4.10%,630
SAT,2,19,2/19/22,49074000,48945000,49169000,48226000,0.12K,0.29%,120
FRI,2,18,2/18/22,48932000,49277000,50056000,48328000,1.05K,-0.70%,1050
THUR,2,17,2/17/22,49277000,53173000,53426000,49059000,1.43K,-7.34%,1430
WED,2,16,2/16/22,53183000,53691000,53714000,52728000,1.02K,-0.97%,1020
TUE,2,15,2/15/22,53706000,51604000,53905000,51432000,1.35K,4.07%,1350
MON,2,14,2/14/22,51607000,51457000,52000000,50621000,1.03K,0.29%,1030
SUN,2,13,2/13/22,51457000,51597000,52112000,51150000,0.89K,-0.27%,890
SAT,2,12,2/12/22,51595000,51792000,52296000,50800000,0.85K,-0.38%,850
